,Ø Êmbolo (mm),Ø Haste (mm),Curso (mm),Modelo,Norma,Fabricante,Comprimento Total (mm),Rosca Haste,Conexão Pneumática,▯ Distância Quadrada Fixações (mm),Parafuso de Fixação,Pressão Máxima (Bar)
0,32,12,20,DSBC-32-20-PPSA-N3,15552,Festo,161.1,"M10x1,25",G1/8,32.5,M6,12
1,32,12,25,DSBC-32-25-PPSA-N3,15552,Festo,166.1,"M10x1,25",G1/8,32.5,M6,12
2,32,12,30,DSBC-32-30-PPSA-N3,15552,Festo,171.1,"M10x1,25",G1/8,32.5,M6,12
3,32,12,40,DSBC-32-40-PPSA-N3,15552,Festo,181.1,"M10x1,25",G1/8,32.5,M6,12
4,32,12,50,DSBC-32-50-PPSA-N3,15552,Festo,191.1,"M10x1,25",G1/8,32.5,M6,12
5,32,12,100,DSBC-32-100-PPSA-N3,15552,Festo,241.1,"M10x1,25",G1/8,32.5,M6,12
6,32,12,70,DSBC-32-70-PPSA-N3,15552,Festo,211.1,"M10x1,25",G1/8,32.5,M6,12
7,32,12,60,DSBC-32-60-PPSA-N3,15552,Festo,201.1,"M10x1,25",G1/8,32.5,M6,12
8,32,12,80,DSBC-32-80-PPSA-N3,15552,Festo,221.1,"M10x1,25",G1/8,32.5,M6,12
9,32,12,125,DSBC-32-125-PPSA-N3,15552,Festo,266.1,"M10x1,25",G1/8,32.5,M6,12
10,32,12,500,DSBC-32-500-PPSA-N3,15552,Festo,641.1,"M10x1,25",G1/8,32.5,M6,12
11,32,12,400,DSBC-32-400-PPSA-N3,15552,Festo,541.1,"M10x1,25",G1/8,32.5,M6,12
12,32,12,200,DSBC-32-200-PPSA-N3,15552,Festo,341.1,"M10x1,25",G1/8,32.5,M6,12
13,32,12,250,DSBC-32-250-PPSA-N3,15552,Festo,391.1,"M10x1,25",G1/8,32.5,M6,12
14,32,12,160,DSBC-32-160-PPSA-N3,15552,Festo,301.1,"M10x1,25",G1/8,32.5,M6,12
15,32,12,150,DSBC-32-150-PPSA-N3,15552,Festo,291.1,"M10x1,25",G1/8,32.5,M6,12
16,32,12,300,DSBC-32-300-PPSA-N3,15552,Festo,441.1,"M10x1,25",G1/8,32.5,M6,12
17,32,12,320,DSBC-32-320-PPSA-N3,15552,Festo,461.1,"M10x1,25",G1/8,32.5,M6,12
18,40,16,100,DSBC-40-100-PPSA-N3,15552,Festo,257.9,"M12x1,25",G1/4,38.0,M6,12
19,40,16,160,DSBC-40-160-PPSA-N3,15552,Festo,317.9,"M12x1,25",G1/4,38.0,M6,12
20,40,16,500,DSBC-40-500-PPSA-N3,15552,Festo,657.9,"M12x1,25",G1/4,38.0,M6,12
21,40,16,400,DSBC-40-400-PPSA-N3,15552,Festo,557.9,"M12x1,25",G1/4,38.0,M6,12
22,40,16,320,DSBC-40-320-PPSA-N3,15552,Festo,477.9,"M12x1,25",G1/4,38.0,M6,12
23,40,16,200,DSBC-40-200-PPSA-N3,15552,Festo,357.9,"M12x1,25",G1/4,38.0,M6,12
24,40,16,60,DSBC-40-60-PPSA-N3,15552,Festo,217.9,"M12x1,25",G1/4,38.0,M6,12
25,40,16,70,DSBC-40-70-PPSA-N3,15552,Festo,227.9,"M12x1,25",G1/4,38.0,M6,12
26,40,16,80,DSBC-40-80-PPSA-N3,15552,Festo,237.9,"M12x1,25",G1/4,38.0,M6,12
27,40,16,50,DSBC-40-50-PPSA-N3,15552,Festo,207.9,"M12x1,25",G1/4,38.0,M6,12
28,40,16,40,DSBC-40-40-PPSA-N3,15552,Festo,197.9,"M12x1,25",G1/4,38.0,M6,12
29,40,16,30,DSBC-40-30-PPSA-N3,15552,Festo,187.9,"M12x1,25",G1/4,38.0,M6,12
30,40,16,25,DSBC-40-25-PPSA-N3,15552,Festo,182.9,"M12x1,25",G1/4,38.0,M6,12
